Sample ID,Population,p-value (Wilcoxon),p-value (Binomial)
NA06985,CEU,1e-05,0.0
NA12748,CEU,0.0179,0.01612
NA12718,CEU,0.0,0.0
NA12717,CEU,0.00012,6e-05
NA12716,CEU,5e-05,0.00032
NA12546,CEU,2e-05,6e-05
NA12489,CEU,4e-05,6e-05
NA12414,CEU,0.00478,0.01612
NA12413,CEU,6e-05,6e-05
NA12400,CEU,2e-05,6e-05
NA12749,CEU,0.00105,0.00143
NA12399,CEU,5e-05,0.00032
NA12348,CEU,0.00757,0.00522
NA12347,CEU,0.00206,0.01612
NA12342,CEU,0.00363,0.04277
NA12341,CEU,1e-05,6e-05
NA12340,CEU,0.00066,0.00143
NA12287,CEU,0.00238,0.00143
NA12286,CEU,4e-05,1e-05
NA12283,CEU,1e-05,0.0
NA12282,CEU,0.00084,0.00522
NA12383,CEU,0.00077,0.00522
NA12750,CEU,0.00808,0.01612
NA12751,CEU,0.00363,0.00143
NA12760,CEU,0.02522,0.09874
NA12878,CEU,2e-05,1e-05
NA12874,CEU,0.00015,0.00032
NA12873,CEU,0.07802,0.20049
NA12872,CEU,0.0001,6e-05
NA12843,CEU,5e-05,1e-05
NA12842,CEU,0.00032,0.00143
NA12830,CEU,0.00478,0.00143
NA12829,CEU,0.00238,0.00522
NA12828,CEU,0.00011,0.00032
NA12827,CEU,0.00917,0.00143
NA12815,CEU,0.02253,0.00522
NA12814,CEU,3e-05,6e-05
NA12813,CEU,0.00192,0.00522
NA12812,CEU,0.00027,0.00522
NA12778,CEU,0.02253,0.04277
NA12777,CEU,1e-05,1e-05
NA12776,CEU,0.0001,0.0
NA12775,CEU,0.00123,0.00143
NA12763,CEU,0.00027,0.00032
NA12762,CEU,1e-05,6e-05
NA12761,CEU,1e-05,0.0
NA12275,CEU,0.0001,0.00143
NA12273,CEU,5e-05,6e-05
NA12272,CEU,0.00035,1e-05
NA12249,CEU,0.02253,0.01612
NA11893,CEU,0.00041,0.00143
NA11892,CEU,0.01412,0.09874
NA11881,CEU,5e-05,6e-05
NA11843,CEU,0.00206,0.04277
NA11840,CEU,0.00021,0.00032
NA11832,CEU,0.0,0.0
NA11831,CEU,0.0,0.0
NA11830,CEU,0.0,0.0
NA11829,CEU,0.00012,1e-05
NA10851,CEU,0.00048,0.00032
NA10847,CEU,0.00066,0.00032
NA07357,CEU,0.00041,0.00032
NA07347,CEU,0.00016,0.00032
NA07056,CEU,5e-05,6e-05
NA07051,CEU,8e-05,0.0
NA07048,CEU,0.01499,0.20049
NA07037,CEU,1e-05,1e-05
NA07000,CEU,0.00098,0.00522
NA06994,CEU,0.00014,6e-05
NA06989,CEU,0.00021,0.00143
NA06986,CEU,1e-05,1e-05
NA11894,CEU,0.00044,0.00032
NA12889,CEU,0.00339,0.04277
NA11918,CEU,0.00014,6e-05
NA11920,CEU,5e-05,1e-05
NA12234,CEU,0.00066,0.01612
NA12156,CEU,0.00077,0.00143
NA12155,CEU,1e-05,1e-05
NA12154,CEU,9e-05,0.00143
NA12144,CEU,0.0,0.0
NA12058,CEU,7e-05,0.00143
NA12046,CEU,2e-05,1e-05
NA12045,CEU,0.00256,0.00522
NA12044,CEU,1e-05,1e-05
NA12043,CEU,0.0001,0.00143
NA12006,CEU,0.01412,0.00143
NA12005,CEU,3e-05,0.0
NA12004,CEU,3e-05,0.00032
NA12003,CEU,0.0001,6e-05
NA11995,CEU,0.00032,0.01612
NA11994,CEU,0.0179,0.04277
NA11992,CEU,3e-05,6e-05
NA11933,CEU,5e-05,0.00032
NA11932,CEU,0.00011,1e-05
NA11931,CEU,2e-05,1e-05
NA11930,CEU,0.00123,0.00143
NA11919,CEU,0.00123,0.00522
NA12890,CEU,3e-05,6e-05
